«1837-0000»,【 カンマ区切りテキスト形式です。】
«1837-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1837-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1837-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1837-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1837-0050»,【 外部リンク　】
«1837-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142】
«1837-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1837h　(翻刻編集終了データを表成型して表示します)】
«1837-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1837ht (翻刻編集中データを表成型して表示します)】
«1837-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1837-0100»,«版元»,出版地○○,出版元□□□,　
«1837-0110»,«暦首»,天保八年ひのとのとり乃寛政暦,房宿|値年,凡三百五十五日
«1837-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1837-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1837-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1837-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1837-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1837-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1837-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月大,六月小
«1837-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月大,九月小
«1837-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1837-0210»,«月序»,正月,大,建,壬寅,角宿値月昴宿日曜値朔日
«1837-0220»,«正月»,一日,つちのとのう,のそく,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1837-0230»,«節中»,立春正月せつみの八刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1837-0240»,«正月»,二日,かのえたつ,みつ,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1837-0250»,«三日»,三日,かのとのみ,たいら,金,　,天おん 母倉 月とく ちう日 めつもん 地火
«1837-0260»,«暦日2»,四〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1837-0270»,«暦日0»,五〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1837-0280»,«暦日2»,六〳,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
«1837-0290»,«暦日0»,七〳,きのとのとり,あやふ,,　,十し
«1837-0300»,«暦日2»,八〳,ひのえいぬ,なる,土,　,●
«1837-0310»,«暦日0»,九〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1837-0320»,«暦日2»,十〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1837-0330»,«暦日0»,十一〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1837-0340»,«暦日2»,十二〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1837-0350»,«暦日0»,十三〳,かのとのう,のそく,,　,くゑ日
«1837-0360»,«暦日2»,十四〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1837-0370»,«暦日0»,十五〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1837-0380»,«暦日1»,十六〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1837-0390»,«節中»,雨水正月中さるの五刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1837-0400»,«暦日1»,十七〳,きのとのひつし,とる,金,　,大みやう 五む日
«1837-0410»,«暦日2»,十八〳,ひのえさる,やふる,火,　,神よし 月とく
«1837-0420»,«暦日0»,十九〳,ひのとのとり,あやふ,,　,十し
«1837-0430»,«暦日2»,廿〳,つちのえいぬ,なる,木,　,●
«1837-0440»,«暦日0»,廿一〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1837-0450»,«暦日2»,廿二〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
