«1836-0000»,【 カンマ区切りテキスト形式です。】
«1836-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1836-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1836-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1836-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1836-0050»,【 外部リンク　】
«1836-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138】
«1836-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1836h　(翻刻編集終了データを表成型して表示します)】
«1836-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1836ht (翻刻編集中データを表成型して表示します)】
«1836-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1836-0100»,«版元»,出版地○○,出版元□□□,　
«1836-0110»,«暦首»,天保七年ひのえさる乃寛政暦,氐宿|値年,凡三百五十四日
«1836-0120»,«大歳»,大さいさるの方,此方ニむかひて万よし|但木をきらす
«1836-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1836-0140»,«大陰»,大おんむまの方,此方ニむかひて|さんをせす
«1836-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1836-0160»,«歳刑»,さいけうとらの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1836-0170»,«歳破»,さいはとらの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1836-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月大,六月小
«1836-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1836-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1836-0210»,«月序»,正月,小,建,庚寅,胃宿値月軫宿水曜値朔日
«1836-0220»,«正月»,一日,きのとのとり,あやふ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1836-0230»,«正月»,二日,ひのえいぬ,なる,土,　,●
«1836-0240»,«正月»,三日,ひのとのい,おさむ,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1836-0250»,«暦日2»,四〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1836-0260»,«暦日0»,五〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1836-0270»,«節中»,雨水正月中みの六刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1836-0280»,«暦日2»,六〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1836-0290»,«暦日0»,七〳,かのとのう,のそく,,　,くゑ日
«1836-0300»,«暦日2»,八〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1836-0310»,«暦日0»,九〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1836-0320»,«暦日2»,十〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1836-0330»,«暦日0»,十一〳,きのとのひつし,とる,,　,大みやう 五む日
«1836-0340»,«暦日2»,十二〳,ひのえさる,やふる,火,　,神よし 月とく
«1836-0350»,«暦日0»,十三〳,ひのとのとり,あやふ,,　,十し
«1836-0360»,«暦日2»,十四〳,つちのえいぬ,なる,木,　,●
«1836-0370»,«暦日0»,十五〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1836-0380»,«暦日2»,十六〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1836-0390»,«暦日0»,十七〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1836-0400»,«暦日2»,十八〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
