«1778-0000»,【 カンマ区切りテキスト形式です。】
«1778-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1778-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1778-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1778-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1778-0050»,【 外部リンク　】
«1778-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/160 ～ 164】
«1778-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1778h　(翻刻編集終了データを表成型して表示します)】
«1778-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1778ht (翻刻編集中データを表成型して表示します)】
«1778-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1778-0100»,«版元»,出版地○○,出版元□□□,　
«1778-0110»,«暦首»,安永七年つちのえいぬ乃宝暦甲戌元暦,角宿|値年,凡三百八十四日
«1778-0120»,«大歳»,大さいいぬの方,此方ニむかひて万よし|但木をきらす
«1778-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1778-0140»,«大陰»,大おんさるの方,此方ニむかひて|さんをせす
«1778-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1778-0160»,«歳刑»,さいけうひつしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1778-0170»,«歳破»,さいはたつの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1778-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月大,六月小
«1778-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小|閏七月大,八月小,九月大
«1778-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1778-0210»,«月序»,正月,大,建,甲寅,參宿値月參宿水曜値朔日
«1778-0220»,«正月»,一日,みつのえいぬ,おさむ,水,吉事始|ま日,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1778-0230»,«正月»,二日,みつのとのい,ひらく,水,八せんのおはり,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1778-0240»,«三日»,三日,きのえね,とつ,金,　,天しや よろつよし
«1778-0250»,«暦日1»,四〳,きのとのうし,たつ,金,　,十し
«1778-0260»,«暦日2»,五〳,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
«1778-0270»,«暦日0»,六〳,ひのとのう,みつ,,　,神よし 天おん
«1778-0280»,«暦日2»,七〳,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火 わうまう
«1778-0290»,«暦日0»,八〳,つちのとのみ,さたん,,せつふん,母倉 ちう日 ふく日
«1778-0300»,«暦日1»,九〳,かのえむま,さたん,土,　,神よし ふく日
«1778-0310»,«節中»,立春正月せつ今暁とらの一刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1778-0320»,«暦日1»,十〳,かのとのひつし,とる,土,　,大みやう 月とく  いちたちよし
«1778-0330»,«暦日2»,十一〳,みつのえさる,やふる,金,　,神よし 大みやう
«1778-0340»,«暦日0»,十二〳,みつのとのとり,あやふ,,　,十し
«1778-0350»,«暦日2»,十三〳,きのえいぬ,なる,火,　,●
«1778-0360»,«暦日0»,十四〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1778-0370»,«暦日2»,十五〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく わうまう
«1778-0380»,«暦日0»,十六〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1778-0390»,«暦日2»,十七〳,つちのえとら,たつ,土,　,天しや よろつよし
«1778-0400»,«暦日0»,十八〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
