«1701-0000»,【 カンマ区切りテキスト形式です。】
«1701-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1701-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1701-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1701-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1701-0050»,【 外部リンク　】
«1701-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/56 ～ 60】
«1701-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1701h　(翻刻編集終了データを表成型して表示します)】
«1701-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1701ht (翻刻編集中データを表成型して表示します)】
«1701-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1701-0100»,«版元»,出版地○○,出版元□□□,　
«1701-0110»,«暦首»,元禄十四年かのとのみ乃貞享暦,斗宿|値年,凡三百五十四日
«1701-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1701-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1701-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1701-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1701-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1701-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1701-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月大,六月小
«1701-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月小
«1701-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1701-0210»,«月序»,正月,大,建,庚寅,參宿値月觜宿火曜値朔日
«1701-0220»,«正月»,一日,つちのとのうし,とつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1701-0230»,«食記»,日帯そく五分
«1701-0240»,«正月»,二日,かのえとら,たつ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1701-0250»,«三日»,三日,かのとのう,のそく,木,　,くゑ日
«1701-0260»,«暦日2»,四〳,みつのえたつ,みつ,水,　,きしく 大みやう 五む日 わうまう
«1701-0270»,«暦日0»,五〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1701-0280»,«暦日2»,六〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1701-0290»,«暦日0»,七〳,きのとのひつし,とる,,　,大みやう 五む日
«1701-0300»,«暦日2»,八〳,ひのえさる,やふる,火,　,神よし
«1701-0310»,«暦日0»,九〳,ひのとのとり,あやふ,,　,十し
«1701-0320»,«暦日2»,十〳,つちのえいぬ,なる,木,　,●
«1701-0330»,«暦日0»,十一〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1701-0340»,«暦日2»,十二〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1701-0350»,«暦日0»,十三〳,かのとのうし,とつ,,正月中さるの四刻,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1701-0360»,«暦日2»,十四〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1701-0370»,«暦日0»,十五〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1701-0380»,«暦日2»,十六〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1701-0390»,«暦日0»,十七〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1701-0400»,«暦日2»,十八〳,ひのえむま,さたん,水,　,さい下しき 神よし 大みやう  わたましよし
«1701-0410»,«暦日0»,十九〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1701-0420»,«暦日2»,廿〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1701-0430»,«暦日0»,廿一〳,つちのとのとり,あやふ,,　,十し
«1701-0440»,«暦日2»,廿二〳,かのえいぬ,なる,金,　,●
«1701-0450»,«暦日0»,廿三〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1701-0460»,«暦日2»,廿四〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1701-0470»,«暦日0»,廿五〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1701-0480»,«暦日2»,廿六〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1701-0490»,«暦日0»,廿七〳,きのとのう,のそく,,　,神よし  ものたちよし
«1701-0500»,«暦日2»,廿八〳,ひのえたつ,のそく,土,二月せついの一刻ニ入|ま日,●
«1701-0510»,«暦日0»,廿九〳,ひのとのみ,みつ,,　,十し
«1701-0520»,«暦日1»,卅〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1701-0530»,«月序»,二月,小,建,辛卯,井宿　井　木よう
«1701-0540»,«暦日1»,一〳,つちのとのひつし,さたん,火,　,神よし 大みやう ちいみ  たねかしよし
