《1703-0000》,# カンマ区切りテキスト形式です。
《1703-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1703-0020》,# ・表の区画内での改行は“/”で表記します。
《1703-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1703-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1703-0050》,# 外部リンク
《1703-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/65 ～ 69
《1703-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1703g　(GitHub上データを表成型)
《1703-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1703h　(翻刻編集データを表成型 - 未実装)
《1703-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1703-0100》,《版元》,出版地○○,出版元□□□,　
《1703-0110》,《暦首》,元禄十六年みつのとのひつし乃貞享暦,女宿/値年,凡三百五十四日
《1703-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1703-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1703-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1703-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1703-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1703-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《1703-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月大
《1703-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1703-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月小
《1703-0210》,《月序》,正月,小,建,甲寅,胃宿値月亢宿金曜値朔日
《1703-0220》,《正月》,一日,ひのとのひつし,とる,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1703-0230》,《正月》,二日,つちのえさる,やふる,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1703-0240》,《三日》,三日,つちのとのとり,あやふ,土,　,十し
《1703-0250》,《暦日2》,四／,かのえいぬ,なる,金,　,●
《1703-0260》,《暦日0》,五／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《1703-0270》,《暦日2》,六／,みつのえね,ひらく,木,正月中とらの三刻/八せんのはしめ,神よし 天火 らうしやく
《1703-0280》,《暦日0》,七／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1703-0290》,《暦日2》,八／,きのえとら,たつ,水,　,くゑ日 ふく日
《1703-0300》,《暦日0》,九／,きのとのう,のそく,,　,神よし  ものたちよし
《1703-0310》,《暦日2》,十／,ひのえたつ,みつ,土,ま日,大みやう
《1703-0320》,《暦日0》,十一／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1703-0330》,《暦日2》,十二／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1703-0340》,《暦日0》,十三／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1703-0350》,《暦日2》,十四／,かのえさる,やふる,木,　,さい下しき 神よし 大みやう ふく日
《1703-0360》,《暦日0》,十五／,かのとのとり,あやふ,,　,十し
《1703-0370》,《暦日2》,十六／,みつのえいぬ,なる,水,ま日,●
《1703-0380》,《暦日0》,十七／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1703-0390》,《暦日2》,十八／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1703-0400》,《暦日0》,十九／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1703-0410》,《暦日2》,廿／,ひのえとら,たつ,火,　, つめとりよし
《1703-0420》,《暦日0》,廿一／,ひのとのう,たつ,,二月せつたつの八刻ニ入,天火 らうしやく
《1703-0430》,《暦日2》,廿二／,つちのえたつ,のそく,木,　,●
《1703-0440》,《暦日0》,廿三／,つちのとのみ,みつ,,　,十し
《1703-0450》,《暦日2》,廿四／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1703-0460》,《暦日0》,廿五／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1703-0470》,《暦日2》,廿六／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1703-0480》,《暦日0》,廿七／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1703-0490》,《暦日2》,廿八／,きのえいぬ,あやふ,火,　, かといてよし
《1703-0500》,《暦日0》,廿九／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1703-0510》,《月序》,二月,大,建,乙卯,昴宿　氐　土よう
《1703-0520》,《暦日2》,一／,ひのえね,おさん,水,　,めつもん  たねかしよし
