«1731-0000»,【 カンマ区切りテキスト形式です。】
«1731-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1731-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1731-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1731-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1731-0050»,【 外部リンク　】
«1731-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/133 ～ 138】
«1731-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1731h　(翻刻編集終了データを表成型して表示します)】
«1731-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1731ht (翻刻編集中データを表成型して表示します)】
«1731-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1731-0100»,«版元»,出版地○○,出版元□□□,　
«1731-0110»,«暦首»,享保十六年かのとのい乃貞享暦,女宿|値年,凡三百五十四日
«1731-0120»,«大歳»,大さいいの方,此方ニむかひて万よし|但木をきらす
«1731-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1731-0140»,«大陰»,大おんとりの方,此方ニむかひて|さんをせす
«1731-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1731-0160»,«歳刑»,さいけういの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1731-0170»,«歳破»,さいはみの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1731-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月大
«1731-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1731-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1731-0210»,«月序»,正月,小,建,庚寅,胃宿値月軫宿水曜値朔日
«1731-0220»,«正月»,一日,きのとのうし,とつ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1731-0230»,«正月»,二日,ひのえとら,たつ,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1731-0240»,«三日»,三日,ひのとのう,のそく,火,　,神よし
«1731-0250»,«暦日2»,四〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1731-0260»,«暦日0»,五〳,つちのとのみ,たいら,,　,ちう日 めつもん 地火 わうまう  入学よし
«1731-0270»,«暦日2»,六〳,かのえむま,さたん,土,　,神よし ふく日
«1731-0280»,«暦日0»,七〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1731-0290»,«暦日2»,八〳,みつのえさる,やふる,金,　,神よし 大みやう
«1731-0300»,«暦日0»,九〳,みつのとのとり,あやふ,,　,十し
«1731-0310»,«暦日2»,十〳,きのえいぬ,なる,火,　,●
«1731-0320»,«暦日0»,十一〳,きのとのい,おさん,,　,大くわ ちう日
«1731-0330»,«暦日2»,十二〳,ひのえね,ひらく,水,　,天火 らうしやく
«1731-0340»,«暦日0»,十三〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1731-0350»,«暦日1»,十四〳,つちのえとら,たつ,土,　,天しや よろつよし
«1731-0360»,«節中»,雨水正月中いの四刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1731-0370»,«暦日1»,十五〳,つちのとのう,のそく,土,　,神よし 大みやう  みそさけつくり たねまきよし
«1731-0380»,«暦日2»,十六〳,かのえたつ,みつ,金,　,ふく日
«1731-0390»,«暦日0»,十七〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1731-0400»,«暦日2»,十八〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1731-0410»,«暦日0»,十九〳,みつのとのひつし,とる,,　, たねまきよし
«1731-0420»,«暦日2»,廿〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1731-0430»,«暦日0»,廿一〳,きのとのとり,あやふ,,　,十し
«1731-0440»,«暦日2»,廿二〳,ひのえいぬ,なる,土,　,●
«1731-0450»,«暦日0»,廿三〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1731-0460»,«暦日2»,廿四〳,つちのえね,ひらく,火,　,きしく 天火 らうしやく  けんふく 入学よし
«1731-0470»,«暦日0»,廿五〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1731-0480»,«暦日2»,廿六〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1731-0490»,«暦日0»,廿七〳,かのとのう,のそく,,　,くゑ日
«1731-0500»,«暦日2»,廿八〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1731-0510»,«暦日0»,廿九〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1731-0520»,«月序»,二月,大,建,辛卯,昴宿　角　木よう
«1731-0530»,«暦日1»,一〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1731-0540»,«節中»,啓蟄二月せつとらの一刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1731-0550»,«暦日1»,二〳,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1731-0560»,«暦日2»,三〳,ひのえさる,とる,火,　,神よし
«1731-0570»,«暦日0»,四〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1731-0580»,«暦日2»,五〳,つちのえいぬ,あやふ,木,　, かといてよし
«1731-0590»,«暦日0»,六〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1731-0600»,«暦日2»,七〳,かのえね,おさん,土,　,さい下しき 神よし めつもん  よめとり たねかしよし
«1731-0610»,«暦日0»,八〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1731-0620»,«暦日2»,九〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1731-0630»,«暦日0»,十〳,みつのとのう,たつ,,　,天火 らうしやく
«1731-0640»,«暦日2»,十一〳,きのえたつ,のそく,火,　,●
«1731-0650»,«暦日0»,十二〳,きのとのみ,みつ,,　,十し
«1731-0660»,«暦日2»,十三〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1731-0670»,«暦日0»,十四〳,ひのとのひつし,さたん,,　,ちいみ わうまう
«1731-0680»,«暦日2»,十五〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1731-0690»,«暦日0»,十六〳,つちのとのとり,やふる,,　,大みやう
«1731-0700»,«節中»,春分二月中たつの六刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1731-0710»,«暦日2»,十七〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1731-0720»,«暦日0»,十八〳,かのとのい,なる,,ひかんニなる,神よし 大みやう ちう日 ふく日
«1731-0730»,«暦日2»,十九〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1731-0740»,«暦日0»,廿〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1731-0750»,«暦日2»,廿一〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1731-0760»,«暦日0»,廿二〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1731-0770»,«暦日2»,廿三〳,ひのえたつ,のそく,土,ま日,●
«1731-0780»,«暦日0»,廿四〳,ひのとのみ,みつ,,　,十し
«1731-0790»,«暦日2»,廿五〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1731-0800»,«暦日0»,廿六〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1731-0810»,«暦日2»,廿七〳,かのえさる,とる,木,　,神よし 大みやう
«1731-0820»,«暦日0»,廿八〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1731-0830»,«暦日2»,廿九〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1731-0840»,«暦日0»,卅〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1731-0850»,«月序»,三月,小,建,壬辰,畢宿　氐　土よう
«1731-0860»,«暦日1»,一〳,きのえね,なる,金,　,くゑ日 きこ
«1731-0870»,«節中»,清明三月せつひつしの三刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1731-0880»,«暦日1»,二〳,きのとのうし,おさん,金,　,十し
«1731-0890»,«暦日2»,三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1731-0900»,«暦日0»,四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1731-0910»,«暦日2»,五〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1731-0920»,«暦日0»,六〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1731-0930»,«暦日2»,七〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1731-0940»,«暦日0»,八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1731-0950»,«暦日2»,九〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1731-0960»,«暦日0»,十〳,みつのとのとり,とる,,　,神よし 大みやう
«1731-0970»,«暦日2»,十一〳,きのえいぬ,やふる,火,　, くさかりよし
«1731-0980»,«暦日0»,十二〳,きのとのい,あやふ,,　,●
«1731-0990»,«暦日2»,十三〳,ひのえね,なる,水,とようとりの四刻ニ入,きこ
«1731-1000»,«暦日0»,十四〳,ひのとのうし,おさん,,　,十し
«1731-1010»,«暦日2»,十五〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1731-1020»,«暦日0»,十六〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1731-1030»,«節中»,穀雨三月中いぬの初刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1731-1040»,«暦日2»,十七〳,かのえたつ,たつ,金,　,くゑ日
«1731-1050»,«暦日0»,十八〳,かのとのみ,のそく,,　,ちう日
«1731-1060»,«暦日2»,十九〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1731-1070»,«暦日0»,廿〳,みつのとのひつし,たいら,,　,めつもん 地火
«1731-1080»,«暦日2»,廿一〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日 わうまう
«1731-1090»,«暦日0»,廿二〳,きのとのとり,とる,,　,神よし  くさかりよし
«1731-1100»,«暦日2»,廿三〳,ひのえいぬ,やふる,土,　,五む日
«1731-1110»,«暦日0»,廿四〳,ひのとのい,あやふ,,　,●
«1731-1120»,«暦日2»,廿五〳,つちのえね,なる,火,　,きこ ふく日
«1731-1130»,«暦日0»,廿六〳,つちのとのうし,おさん,,　,十し
«1731-1140»,«暦日2»,廿七〳,かのえとら,ひらく,木,八十八や,ちいみ  いちたち  つめとりよし
«1731-1150»,«暦日0»,廿八〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1731-1160»,«暦日1»,廿九〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1731-1170»,«月序»,四月,大,建,癸巳,觜宿　房　日よう
«1731-1180»,«暦日1»,一〳,みつのとのみ,のそく,水,天一天上,ちう日  けんふくよし
«1731-1190»,«暦日2»,二〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1731-1200»,«暦日0»,三〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1731-1210»,«節中»,立夏四月せつねの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1731-1220»,«暦日2»,四〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1731-1230»,«暦日0»,五〳,ひのとのとり,さたん,,　,十し
«1731-1240»,«暦日2»,六〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
