«1829-0000»,【 カンマ区切りテキスト形式です。】
«1829-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1829-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1829-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1829-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1829-0050»,【 外部リンク　】
«1829-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108】
«1829-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1829h　(翻刻編集終了データを表成型して表示します)】
«1829-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1829ht (翻刻編集中データを表成型して表示します)】
«1829-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1829-0100»,«版元»,出版地○○,出版元□□□,　
«1829-0110»,«暦首»,文政十二年つちのとのうし乃寛政暦,柳宿|値年,凡三百五十五日
«1829-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1829-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1829-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1829-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1829-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1829-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1829-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月大
«1829-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1829-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1829-0210»,«月序»,正月,小,建,丙寅,胃宿値月箕宿水曜値朔日
«1829-0220»,«正月»,一日,ひのえさる,あやふ,火,吉事始|せつふん,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1829-0230»,«正月»,二日,ひのとのとり,あやふ,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1829-0240»,«節中»,立春正月せつむまの六刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1829-0250»,«三日»,三日,つちのえいぬ,なる,木,　,●
«1829-0260»,«暦日1»,四〳,つちのとのい,おさん,木,　,神よし 母倉 大くわ ちう日
«1829-0270»,«暦日2»,五〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1829-0280»,«暦日0»,六〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1829-0290»,«暦日2»,七〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1829-0300»,«暦日0»,八〳,みつのとのう,のそく,,　,わうまう  あさまきよし
«1829-0310»,«暦日2»,九〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1829-0320»,«暦日0»,十〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1829-0330»,«暦日2»,十一〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1829-0340»,«暦日0»,十二〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1829-0350»,«暦日2»,十三〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1829-0360»,«暦日0»,十四〳,つちのとのとり,あやふ,,　,十し
«1829-0370»,«暦日2»,十五〳,かのえいぬ,なる,金,　,●
«1829-0380»,«暦日0»,十六〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1829-0390»,«暦日1»,十七〳,みつのえね,ひらく,木,八せんのはしめ,神よし きしく 天おん 母倉 天火 らうしやく
«1829-0400»,«節中»,雨水正月中とりの三刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1829-0410»,«暦日1»,十八〳,みつのとのうし,とつ,木,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1829-0420»,«暦日2»,十九〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1829-0430»,«暦日0»,廿〳,きのとのう,のそく,,　,神よし  ものたちよし
«1829-0440»,«暦日2»,廿一〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1829-0450»,«暦日0»,廿二〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1829-0460»,«暦日2»,廿三〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1829-0470»,«暦日0»,廿四〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1829-0480»,«暦日2»,廿五〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1829-0490»,«暦日0»,廿六〳,かのとのとり,あやふ,,　,十し
«1829-0500»,«暦日2»,廿七〳,みつのえいぬ,なる,水,ま日,●
«1829-0510»,«暦日0»,廿八〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1829-0520»,«暦日1»,廿九〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1829-0530»,«月序»,二月,大,建,丁卯,昴宿　斗　木よう
«1829-0540»,«暦日1»,一〳,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1829-0550»,«暦日2»,二〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1829-0560»,«暦日0»,三〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1829-0570»,«節中»,啓蟄二月せついの八刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1829-0580»,«暦日2»,四〳,つちのえたつ,のそく,木,　,●
«1829-0590»,«暦日0»,五〳,つちのとのみ,みつ,,　,十し
«1829-0600»,«暦日2»,六〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1829-0610»,«暦日0»,七〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1829-0620»,«暦日2»,八〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1829-0630»,«暦日0»,九〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1829-0640»,«暦日2»,十〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1829-0650»,«暦日0»,十一〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1829-0660»,«暦日2»,十二〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1829-0670»,«暦日0»,十三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1829-0680»,«暦日2»,十四〳,つちのえとら,とつ,土,社日|ひかんニなる,天しや よろつよし
«1829-0690»,«暦日0»,十五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1829-0700»,«暦日1»,十六〳,かのえたつ,のそく,金,　,●
«1829-0710»,«食記»,月蝕三分半
«1829-0720»,«暦日1»,十七〳,かのとのみ,みつ,金,　,十し
«1829-0730»,«暦日2»,十八〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1829-0740»,«暦日0»,十九〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1829-0750»,«節中»,春分二月中今暁とらの五刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
