《1696-0000》,# カンマ区切りテキスト形式です。
《1696-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1696-0020》,# ・表の区画内での改行は“/”で表記します。
《1696-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1696-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1696-0050》,# 外部リンク
《1696-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/33 ～ 37
《1696-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1696g　(GitHub上データを表成型)
《1696-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1696h　(翻刻編集データを表成型 - 未実装)
《1696-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1696-0100》,《版元》,出版地○○,出版元□□□,　
《1696-0110》,《暦首》,元禄九年ひのえね乃貞享暦,氐宿/値年,凡三百五十五日
《1696-0120》,《大歳》,大さいねの方,此方ニむかひて万よし/但木をきらす
《1696-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1696-0140》,《大陰》,大おんいぬの方,此方ニむかひて/さんをせす
《1696-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1696-0160》,《歳刑》,さいけううの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1696-0170》,《歳破》,さいはむまの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1696-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月小,六月大
《1696-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1696-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1696-0210》,《月序》,正月,大,建,庚寅,胃宿値月牛宿金曜値朔日
《1696-0220》,《正月》,一日,つちのえむま,とる,火,吉事始/ま日,はかため くらひらき ひめはしめ/弓はしめ きそはしめ ふねのりはしめ万よし
《1696-0230》,《正月》,二日,つちのとのひつし,やふる,火,せつふん,すきそめ 馬のりそめ こしのりそめ あきなひはしめ万よし
《1696-0240》,《三日》,三日,かのえさる,やふる,木,立春正月せつうの三刻ニ入,神よし 大みやう日 ふく日
《1696-0250》,《暦日1》,四／,かのとのとり,あやふ,木,　,十し
《1696-0260》,《暦日2》,五／,みつのえいぬ,なる,水,ま日,●
《1696-0270》,《暦日0》,六／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1696-0280》,《暦日2》,七／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1696-0290》,《暦日0》,八／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1696-0300》,《暦日2》,九／,ひのえとら,たつ,火,　,わうまう  つめとりよし
《1696-0310》,《暦日0》,十／,ひのとのう,のそく,,　,神よし  あさまきよし
《1696-0320》,《暦日2》,十一／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1696-0330》,《暦日0》,十二／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1696-0340》,《暦日2》,十三／,かのえむま,さたん,土,　,神よし ふく日
《1696-0350》,《暦日0》,十四／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1696-0360》,《暦日2》,十五／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《1696-0370》,《暦日0》,十六／,みつのとのとり,あやふ,,　,十し
《1696-0380》,《暦日2》,十七／,きのえいぬ,なる,火,　,●
《1696-0390》,《暦日0》,十八／,きのとのい,おさん,,正月中むまの初刻,大くわ ちう日
《1696-0400》,《暦日2》,十九／,ひのえね,ひらく,水,　,天火 らうしやく
《1696-0410》,《暦日0》,廿／,ひのとのうし,とつ,,　,さい下しき 神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1696-0420》,《暦日2》,廿一／,つちのえとら,たつ,土,　,天しや よろつよし
《1696-0430》,《暦日0》,廿二／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1696-0440》,《暦日2》,廿三／,かのえたつ,みつ,金,　,ふく日
《1696-0450》,《暦日0》,廿四／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《1696-0460》,《暦日2》,廿五／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1696-0470》,《暦日0》,廿六／,みつのとのひつし,とる,,　, たねまきよし
《1696-0480》,《暦日2》,廿七／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1696-0490》,《暦日0》,廿八／,きのとのとり,あやふ,,　,十し
《1696-0500》,《暦日2》,廿九／,ひのえいぬ,なる,土,　,●
《1696-0510》,《暦日0》,卅／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《1696-0520》,《月序》,二月,小,建,辛卯,昴宿　虛　日よう
《1696-0530》,《暦日2》,一／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《1696-0540》,《暦日0》,二／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1696-0550》,《暦日2》,三／,かのえとら,とつ,木,二月せつさるの五刻ニ入,きこ  つめとりよし
《1696-0560》,《暦日0》,四／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1696-0570》,《暦日2》,五／,みつのえたつ,のそく,水,　,●
《1696-0580》,《暦日0》,六／,みつのとのみ,みつ,,天一天上,十し
《1696-0590》,《暦日2》,七／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1696-0600》,《暦日0》,八／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1696-0610》,《暦日2》,九／,ひのえさる,とる,火,　,神よし
