«1841-0000»,【 カンマ区切りテキスト形式です。】
«1841-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1841-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1841-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1841-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1841-0050»,【 外部リンク　】
«1841-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/156 ～ 159】
«1841-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1841h　(翻刻編集終了データを表成型して表示します)】
«1841-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1841ht (翻刻編集中データを表成型して表示します)】
«1841-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1841-0100»,«版元»,出版地○○,出版元□□□,　
«1841-0110»,«暦首»,天保十二年かのとのうし乃寛政暦,斗宿|値年,凡三百八十三日
«1841-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1841-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1841-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1841-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1841-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1841-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月小|閏正月大,二月小,三月大
«1841-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月小,六月大
«1841-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1841-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1841-0210»,«月序»,正月,小,建,庚寅,參宿値月女宿土曜値朔日
«1841-0220»,«正月»,一日,ひのとのい,ひらく,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1841-0230»,«正月»,二日,つちのえね,とつ,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1841-0240»,«三日»,三日,つちのとのうし,たつ,火,　,十し
«1841-0250»,«暦日2»,四〳,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
«1841-0260»,«暦日0»,五〳,かのとのう,みつ,,　,神よし  よめとりよし
«1841-0270»,«暦日2»,六〳,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
«1841-0280»,«暦日0»,七〳,みつのとのみ,さたん,,天一天上,母倉 ちう日
«1841-0290»,«暦日2»,八〳,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
«1841-0300»,«暦日0»,九〳,きのとのひつし,やふる,,　,大みやう 月とく 五む日
«1841-0310»,«暦日2»,十〳,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
«1841-0320»,«暦日0»,十一〳,ひのとのとり,なる,,　,●
«1841-0330»,«暦日2»,十二〳,つちのえいぬ,おさん,木,　,ふく日 めつもん わうまう
«1841-0340»,«暦日0»,十三〳,つちのとのい,ひらく,,せつふん,ちう日 ふく日
«1841-0350»,«暦日1»,十四〳,かのえね,ひらく,土,　,神よし きしく 母倉 ふく日 天火 らうしやく
«1841-0360»,«節中»,立春正月せつみの五刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1841-0370»,«暦日1»,十五〳,かのとのうし,とつ,土,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1841-0380»,«暦日2»,十六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1841-0390»,«暦日0»,十七〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1841-0400»,«暦日2»,十八〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
