«1718-0000»,【 カンマ区切りテキスト形式です。】
«1718-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1718-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1718-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1718-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1718-0050»,【 外部リンク　】
«1718-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/44 ～ 49】
«1718-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1718h　(翻刻編集終了データを表成型して表示します)】
«1718-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1718ht (翻刻編集中データを表成型して表示します)】
«1718-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1718-0100»,«版元»,出版地○○,出版元□□□,　
«1718-0110»,«暦首»,享保三年つちのえいぬ乃貞享暦,星宿|値年,凡三百八十四日
«1718-0120»,«大歳»,大さいいぬの方,此方ニむかひて万よし|但木をきらす
«1718-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1718-0140»,«大陰»,大おんさるの方,此方ニむかひて|さんをせす
«1718-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1718-0160»,«歳刑»,さいけうひつしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1718-0170»,«歳破»,さいはたつの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1718-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月大
«1718-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月小,九月大
«1718-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小|閏十月大,十一月小,十二月大
«1718-0210»,«月序»,正月,大,建,甲寅,角宿値月心宿月曜値朔日
«1718-0220»,«正月»,一日,かのえいぬ,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1718-0230»,«正月»,二日,かのとのい,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1718-0240»,«三日»,三日,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
«1718-0250»,«暦日1»,四〳,みつのとのうし,たつ,木,ま日,十し
«1718-0260»,«暦日2»,五〳,きのえとら,のそく,水,せつふん,わうまう  木こり  つめとりよし
«1718-0270»,«暦日0»,六〳,きのとのう,のそく,,立春正月せつひつしの二刻ニ入,神よし  ものたちよし
«1718-0280»,«暦日2»,七〳,ひのえたつ,みつ,土,ま日,大みやう
«1718-0290»,«暦日0»,八〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1718-0300»,«暦日2»,九〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1718-0310»,«暦日0»,十〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1718-0320»,«暦日2»,十一〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1718-0330»,«暦日0»,十二〳,かのとのとり,あやふ,,　,十し
«1718-0340»,«暦日2»,十三〳,みつのえいぬ,なる,水,ま日,●
«1718-0350»,«暦日0»,十四〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1718-0360»,«暦日2»,十五〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1718-0370»,«暦日0»,十六〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1718-0380»,«暦日2»,十七〳,ひのえとら,たつ,火,　, つめとりよし
«1718-0390»,«暦日0»,十八〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1718-0400»,«暦日2»,十九〳,つちのえたつ,みつ,木,　,きしく 五む日  みそつくりよし
