«1722-0000»,【 カンマ区切りテキスト形式です。】
«1722-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1722-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1722-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1722-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1722-0050»,【 外部リンク　】
«1722-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/68 ～ 72】
«1722-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1722h　(翻刻編集終了データを表成型して表示します)】
«1722-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1722ht (翻刻編集中データを表成型して表示します)】
«1722-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1722-0100»,«版元»,出版地○○,出版元□□□,　
«1722-0110»,«暦首»,享保七年みつのえとら乃貞享暦,角宿|値年,凡三百五十四日
«1722-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1722-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1722-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1722-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1722-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1722-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1722-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月大
«1722-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1722-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1722-0210»,«月序»,正月,小,建,壬寅,參宿値月張宿月曜値朔日
«1722-0220»,«正月»,一日,ひのとのい,おさむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1722-0230»,«正月»,二日,つちのえね,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1722-0240»,«三日»,三日,つちのとのうし,とつ,火,　,きこ ちいみ
«1722-0250»,«暦日2»,四〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1722-0260»,«暦日0»,五〳,かのとのう,のそく,,正月中とりの三刻,くゑ日
«1722-0270»,«暦日2»,六〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1722-0280»,«暦日0»,七〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1722-0290»,«暦日2»,八〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1722-0300»,«暦日0»,九〳,きのとのひつし,とる,,　,大みやう 五む日
«1722-0310»,«暦日2»,十〳,ひのえさる,やふる,火,　,神よし
«1722-0320»,«暦日0»,十一〳,ひのとのとり,あやふ,,　,十し
«1722-0330»,«暦日2»,十二〳,つちのえいぬ,なる,木,　,●
«1722-0340»,«暦日0»,十三〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1722-0350»,«暦日2»,十四〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1722-0360»,«暦日0»,十五〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1722-0370»,«暦日2»,十六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1722-0380»,«暦日0»,十七〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1722-0390»,«暦日2»,十八〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1722-0400»,«暦日0»,十九〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1722-0410»,«暦日2»,廿〳,ひのえむま,たいら,水,二月せつ夜ねの初刻ニ入,神よし 大みやう 大くわ 地火
«1722-0420»,«暦日0»,廿一〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1722-0430»,«暦日2»,廿二〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1722-0440»,«暦日0»,廿三〳,つちのとのとり,やふる,,　,大みやう
«1722-0450»,«暦日2»,廿四〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1722-0460»,«暦日0»,廿五〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1722-0470»,«暦日2»,廿六〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく めつもん  あさまきよし
«1722-0480»,«暦日0»,廿七〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1722-0490»,«暦日2»,廿八〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1722-0500»,«暦日0»,廿九〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1722-0510»,«月序»,二月,大,建,癸卯,井宿　翼　火よう
«1722-0520»,«暦日2»,一〳,ひのえたつ,のそく,土,ま日,●
«1722-0530»,«暦日0»,二〳,ひのとのみ,みつ,,　,十し
«1722-0540»,«暦日2»,三〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1722-0550»,«暦日0»,四〳,つちのとのひつし,さたん,,　,大みやう ちいみ わうまう  たねかしよし
«1722-0560»,«暦日2»,五〳,かのえさる,とる,木,　,神よし 大みやう
«1722-0570»,«暦日0»,六〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1722-0580»,«暦日2»,七〳,みつのえいぬ,あやふ,水,春分二月中とらの五刻|ま日, あさまきよし
«1722-0590»,«暦日0»,八〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
